phase,duration
0,11
1,3
2,10
3,3
6,23
7,3
2,10
3,3
6,40
7,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
6,23
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,22
3,3
0,10
1,3
2,13
3,3
6,10
7,3
4,28
5,3
2,10
3,3
4,10
5,3
6,29
7,3
0,10
1,3
6,40
7,3
0,10
1,3
4,18
5,3
6,15
7,3
2,23
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,15
5,3
2,10
3,3
4,10
5,3
6,38
7,3
0,10
1,3
2,10
3,3
4,14
5,3
2,12
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,14
3,3
6,21
7,3
4,10
5,3
6,10
7,3
4,10
5,3
6,10
7,3
4,13
5,3
6,10
7,3
4,10
5,3
2,13
3,3
4,10
5,3
2,35
3,3
4,10
5,3
0,10
1,3
6,10
7,3
4,10
5,3
6,13
7,3
2,12
3,3
6,15
7,3
4,12
5,3
6,18
7,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
0,10
1,3
2,19
3,3
4,10
5,3
6,29
7,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
4,22
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,16
7,3
2,20
3,3
4,10
5,3
6,25
7,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
0,10
1,3
4,10
5,3
2,21
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
6,13
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,15
7,3
2,10
3,3
