phase,duration
0,11
1,3
6,38
7,3
2,11
3,3
6,10
7,3
2,11
3,3
4,15
5,3
2,10
3,3
6,11
7,3
2,40
3,3
4,10
5,3
6,10
7,3
2,28
3,3
0,10
1,3
2,13
3,3
6,10
7,3
4,10
5,3
2,14
3,3
6,10
7,3
2,13
3,3
6,10
7,3
2,40
3,3
4,10
5,3
2,32
3,3
6,10
7,3
0,14
1,3
2,14
3,3
0,10
1,3
4,10
5,3
2,11
3,3
4,14
5,3
2,10
3,3
6,10
7,3
2,23
3,3
6,10
7,3
2,18
3,3
0,10
1,3
2,10
3,3
0,10
1,3
6,10
7,3
4,10
5,3
2,13
3,3
0,10
1,3
2,11
3,3
6,10
7,3
2,16
3,3
6,12
7,3
2,10
3,3
0,11
1,3
2,10
3,3
0,10
1,3
4,10
5,3
2,10
3,3
4,11
5,3
6,10
7,3
4,16
5,3
6,14
7,3
4,14
5,3
0,10
1,3
6,10
7,3
2,11
3,3
6,10
7,3
4,10
5,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,33
3,3
6,12
7,3
2,20
3,3
4,22
5,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
4,10
5,3
2,10
3,3
4,10
5,3
0,10
1,3
6,10
7,3
0,14
1,3
2,10
3,3
4,10
5,3
2,10
3,3
4,10
5,3
6,10
7,3
2,28
3,3
4,10
5,3
2,22
3,3
4,12
5,3
0,10
1,3
6,10
7,3
0,13
1,3
2,10
3,3
0,10
1,3
6,10
7,3
0,10
1,3
6,10
7,3
2,11
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
4,17
5,3
2,11
3,3
4,12
5,3
2,15
3,3
6,10
7,3
2,10
3,3
