phase,duration
0,11
1,3
2,40
3,3
4,10
5,3
2,10
3,3
4,10
5,3
2,15
3,3
6,10
7,3
2,40
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,11
3,3
6,10
7,3
2,11
3,3
6,10
7,3
2,40
3,3
4,10
5,3
2,16
3,3
0,10
1,3
6,10
7,3
2,16
3,3
4,10
5,3
2,11
3,3
0,14
1,3
2,10
3,3
4,10
5,3
6,11
7,3
4,10
5,3
6,13
7,3
2,10
3,3
6,11
7,3
2,10
3,3
0,10
1,3
6,21
7,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
4,11
5,3
6,10
7,3
4,10
5,3
6,10
7,3
2,10
3,3
0,17
1,3
6,10
7,3
2,23
3,3
6,10
7,3
2,10
3,3
6,10
7,3
0,10
1,3
6,10
7,3
0,10
1,3
4,23
5,3
0,12
1,3
4,10
5,3
6,18
7,3
0,10
1,3
4,10
5,3
6,16
7,3
2,11
3,3
6,10
7,3
2,10
3,3
0,13
1,3
2,10
3,3
4,10
5,3
6,10
7,3
4,10
5,3
6,14
7,3
2,11
3,3
0,10
1,3
2,10
3,3
4,10
5,3
2,11
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,24
7,3
2,10
3,3
0,12
1,3
6,10
7,3
4,10
5,3
6,10
7,3
2,10
3,3
4,10
5,3
6,14
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,11
3,3
6,11
7,3
2,10
3,3
6,24
7,3
0,10
1,3
2,10
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,20
7,3
0,10
1,3
2,10
3,3
4,19
5,3
6,10
7,3
4,10
5,3
0,10
1,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
4,11
5,3
6,12
7,3
2,10
3,3
0,10
1,3
6,10
7,3
4,22
5,3
