phase,duration
0,12
1,3
2,13
3,3
4,10
5,3
2,14
3,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,11
3,3
6,10
7,3
2,26
3,3
6,10
7,3
0,10
1,3
4,10
5,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
4,10
5,3
2,16
3,3
6,14
7,3
2,11
3,3
6,10
7,3
0,10
1,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
0,11
1,3
2,11
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,11
3,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,22
3,3
6,11
7,3
2,11
3,3
6,10
7,3
0,18
1,3
6,10
7,3
2,10
3,3
0,11
1,3
2,10
3,3
0,10
1,3
2,11
3,3
6,12
7,3
2,10
3,3
6,10
7,3
4,11
5,3
2,10
3,3
4,10
5,3
0,10
1,3
2,11
3,3
0,10
1,3
2,13
3,3
0,10
1,3
2,11
3,3
6,11
7,3
2,10
3,3
6,12
7,3
2,11
3,3
6,10
7,3
0,10
1,3
2,10
3,3
6,12
7,3
2,10
3,3
6,11
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,13
3,3
6,10
7,3
0,12
1,3
2,13
3,3
0,11
1,3
2,20
3,3
0,19
1,3
2,26
3,3
0,10
1,3
2,10
3,3
0,10
1,3
2,11
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
6,13
7,3
4,10
5,3
6,10
7,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
4,10
5,3
2,22
3,3
6,12
7,3
2,20
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,14
7,3
2,10
3,3
