phase,duration
0,40
1,3
2,10
3,3
4,18
5,3
2,10
3,3
6,38
7,3
2,10
3,3
4,22
5,3
2,12
3,3
6,29
7,3
2,10
3,3
0,10
1,3
4,10
5,3
2,14
3,3
6,10
7,3
2,34
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,11
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,13
3,3
4,10
5,3
2,10
3,3
0,16
1,3
6,16
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,20
1,3
6,24
7,3
2,24
3,3
4,10
5,3
2,14
3,3
6,14
7,3
2,15
3,3
6,17
7,3
4,10
5,3
2,22
3,3
0,33
1,3
2,10
3,3
6,17
7,3
2,11
3,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
0,17
1,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,10
3,3
6,11
7,3
2,13
3,3
4,10
5,3
2,10
3,3
6,11
7,3
4,10
5,3
2,10
3,3
4,10
5,3
6,12
7,3
2,15
3,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
2,13
3,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,12
3,3
6,10
7,3
2,14
3,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,14
3,3
6,10
7,3
2,14
3,3
4,10
5,3
2,14
3,3
0,10
1,3
6,13
7,3
2,10
3,3
4,12
5,3
2,10
3,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,13
3,3
6,10
7,3
4,10
5,3
2,10
