phase,duration
0,40
1,3
2,10
3,3
0,40
1,3
2,10
3,3
0,23
1,3
2,11
3,3
6,10
7,3
2,10
3,3
0,24
1,3
2,10
3,3
6,15
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,33
7,3
2,10
3,3
6,18
7,3
2,10
3,3
6,14
7,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
0,12
1,3
4,10
5,3
6,10
7,3
0,11
1,3
2,10
3,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
0,16
1,3
2,10
3,3
6,10
7,3
0,10
1,3
4,10
5,3
6,11
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,15
7,3
0,10
1,3
2,10
3,3
0,10
1,3
2,10
3,3
6,19
7,3
4,10
5,3
6,10
7,3
0,10
1,3
2,12
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
0,11
1,3
2,12
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,16
7,3
4,10
5,3
6,22
7,3
2,10
3,3
6,38
7,3
0,10
1,3
4,26
5,3
6,10
7,3
4,10
5,3
2,10
3,3
0,10
1,3
4,10
5,3
2,10
3,3
6,10
7,3
0,12
1,3
4,10
5,3
2,11
3,3
6,10
7,3
2,10
3,3
6,14
7,3
4,10
5,3
0,10
1,3
2,12
3,3
6,10
7,3
2,13
3,3
6,10
7,3
2,30
3,3
6,10
7,3
4,23
5,3
6,10
7,3
4,10
5,3
2,10
3,3
4,10
5,3
6,10
7,3
0,13
1,3
2,11
3,3
4,10
5,3
2,10
3,3
6,10
7,3
4,11
5,3
6,10
7,3
0,13
1,3
6,10
7,3
0,38
1,3
2,10
3,3
0,17
1,3
2,10
3,3
6,11
7,3
