phase,duration
0,40
1,3
2,10
3,3
0,40
1,3
2,10
3,3
0,11
1,3
6,35
7,3
2,10
3,3
0,14
1,3
4,10
5,3
6,10
7,3
2,10
3,3
0,19
1,3
6,19
7,3
0,12
1,3
6,12
7,3
2,12
3,3
0,10
1,3
6,18
7,3
2,11
3,3
0,10
1,3
6,31
7,3
2,10
3,3
0,17
1,3
6,10
7,3
2,12
3,3
0,10
1,3
6,10
7,3
0,10
1,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
0,10
1,3
6,10
7,3
0,13
1,3
6,10
7,3
2,11
3,3
0,14
1,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
0,10
1,3
6,11
7,3
2,10
3,3
0,10
1,3
6,15
7,3
2,10
3,3
0,12
1,3
6,29
7,3
2,10
3,3
6,10
7,3
2,12
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
4,10
5,3
0,17
1,3
6,26
7,3
2,10
3,3
0,10
1,3
6,15
7,3
2,19
3,3
0,37
1,3
6,13
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,12
1,3
6,28
7,3
0,10
1,3
2,10
3,3
6,12
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,15
3,3
0,10
1,3
6,20
7,3
2,12
3,3
6,14
7,3
2,10
3,3
0,10
1,3
6,18
7,3
2,21
3,3
0,10
1,3
2,10
3,3
0,15
1,3
6,19
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,11
1,3
2,10
3,3
6,10
7,3
2,13
3,3
0,20
1,3
6,15
7,3
2,11
3,3
6,10
7,3
2,17
3,3
0,19
1,3
2,10
3,3
6,10
7,3
